Client Name,IP Address,UDP Port,Password
diag_user_0,127.0.0.2,24000,client[4]
diag_user_2,127.0.0.2,24002,client[4]
diag_user_4,127.0.0.2,24004,client[4]
pin_user_0,127.0.0.2,25000,client[4]
pin_user_2,127.0.0.2,25002,client[4]
pin_user_4,127.0.0.2,25004,client[4]
same_user,127.0.0.2,27006,client[4]
stress_6,127.0.0.2,26006,client[4]
stress_0,127.0.0.2,26000,client[4]
stress_2,127.0.0.2,26002,client[4]
stress_4,127.0.0.2,26004,client[4]
r1_u4,127.0.0.2,28009,client[4]
r1_u6,127.0.0.2,28012,client[4]
r1_u8,127.0.0.2,28022,client[4]
r1_u2,127.0.0.2,28007,client[4]
r2_u4,127.0.0.2,28010,client[4]
r2_u10,127.0.0.2,28019,client[4]
r2_u0,127.0.0.2,28005,client[4]
r2_u8,127.0.0.2,28012,client[4]
